nid,url,titre,id-camera,id-arrondissement,arrondissement,description,latitude,longitude,axe-routier-nord-sud,axe-routier-est-ouest,url-image-en-direct,url-video-en-direct,url-image-direction-nord,url-image-direction-est,url-image-direction-sud,url-image-direction-ouest
"251","http://ville.montreal.qc.ca/circulation/map/3/251","Chemin Queen-Mary et avenue Victoria","17","3","Côte-des-Neiges–Notre-Dame-de-Grâce","","45.488626075562","-73.624788187505","Avenue Victoria","Chemin Queen-Mary","http://www1.ville.montreal.qc.ca/Circulation-Cameras/GEN17.jpeg","http://ville.montreal.qc.ca/circulation/GEN17.mp4","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen17_nord.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen17_est.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen17_sud.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen17_ouest.png",
"252","http://ville.montreal.qc.ca/circulation/map/5/252","Avenue Dollard et boulevard Newman","18","5","LaSalle","","45.430583245602","-73.634797180254","Avenue Dollard","Boulevard Newman","http://www1.ville.montreal.qc.ca/Circulation-Cameras/GEN18.jpeg","http://ville.montreal.qc.ca/circulation/GEN18.mp4","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen18_nord.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen18_est.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen18_sud.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen18_ouest.png",
"253","http://ville.montreal.qc.ca/circulation/map/19/253","Rue Jean-Talon et boulevard Pie-IX","19","19","Villeray–Saint-Michel–Parc-Extension","","45.566541468558","-73.591364488301","Boulevard Pie-IX","Rue Jean-Talon","http://www1.ville.montreal.qc.ca/Circulation-Cameras/GEN19.jpeg","http://ville.montreal.qc.ca/circulation/GEN19.mp4","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen19_nord.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen19_est.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen19_sud.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen19_ouest.png",
"254","http://ville.montreal.qc.ca/circulation/map/4/254","Rue Notre-Dame / rue Victoria et boulevard Saint-Joseph","20","4","Lachine","","45.440953772394","-73.651335343661","Rue Notre-Dame / rue Victoria","Boulevard Saint-Joseph","http://www1.ville.montreal.qc.ca/Circulation-Cameras/GEN20.jpeg","http://ville.montreal.qc.ca/circulation/GEN20.mp4","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen20_nord.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen20_est.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen20_sud.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen20_ouest.png",
"256","http://ville.montreal.qc.ca/circulation/map/3/256","Boulevard Décarie et avenue Van Horne inter. Ouest","26","3","Côte-des-Neiges–Notre-Dame-de-Grâce","","45.489341193639","-73.642362327171","Boulevard Décarie","Avenue Van Horne","http://www1.ville.montreal.qc.ca/Circulation-Cameras/GEN26.jpeg","http://ville.montreal.qc.ca/circulation/GEN26.mp4","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen26_nord.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen26_est.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen26_sud.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen26_ouest.png",
"257","http://ville.montreal.qc.ca/circulation/map/19/257","Boulevard des Grandes-Prairies et boulevard Pie-IX","27","19","Villeray–Saint-Michel–Parc-Extension","","45.581624062407","-73.625551097451","Boulevard Pie-IX","Boulevard des Grandes-Prairies","http://www1.ville.montreal.qc.ca/Circulation-Cameras/GEN27.jpeg","http://ville.montreal.qc.ca/circulation/GEN27.mp4","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen27_nord.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen27_est.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen27_sud.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen27_ouest.png",
"258","http://ville.montreal.qc.ca/circulation/map/14/258","Boulevard Pie-IX et boulevard Rosemont","28","14","Rosemont–La Petite-Patrie","","45.560770200331","-73.573839080897","Boulevard Pie-IX","Boulevard Rosemont","http://www1.ville.montreal.qc.ca/Circulation-Cameras/GEN28.jpeg","http://ville.montreal.qc.ca/circulation/GEN28.mp4","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen28_nord.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen28_est.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen28_sud.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen28_ouest.png",
"259","http://ville.montreal.qc.ca/circulation/map/18/259","Rue La Fontaine et avenue Papineau","29","18","Ville-Marie","","45.524615802340","-73.556833035452","Avenue Papineau","Rue La Fontaine","http://www1.ville.montreal.qc.ca/Circulation-Cameras/GEN29.jpeg","http://ville.montreal.qc.ca/circulation/GEN29.mp4","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen29_nord.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen29_est.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen29_sud.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen29_ouest.png",
"260","http://ville.montreal.qc.ca/circulation/map/6/260","Rue Saint-Denis et boulevard Saint-Joseph","32","6","Le Plateau-Mont-Royal","","45.526233165289","-73.587897580322","Rue Saint-Denis","Boulevard Saint-Joseph","http://www1.ville.montreal.qc.ca/Circulation-Cameras/GEN32.jpeg","http://ville.montreal.qc.ca/circulation/GEN32.mp4","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen32_nord.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen32_est.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen32_sud.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen32_ouest.png",
"261","http://ville.montreal.qc.ca/circulation/map/1/261","Avenue Christophe-Colomb et boulevard Crémazie inter. Nord","35","1","Ahuntsic-Cartierville","","45.550738892138","-73.629692584845","Avenue Christophe-Colomb","Boulevard Crémazie","http://www1.ville.montreal.qc.ca/Circulation-Cameras/GEN35.jpeg","http://ville.montreal.qc.ca/circulation/GEN35.mp4","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen35_nord.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen35_est.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen35_sud.png","http://ville.montreal.qc.ca/circulation/sites/ville.montreal.qc.ca.circulation/files/images_camera_reference/gen35_ouest.png",
