ID_TRC,Rue,De,A,Longueur,Arrondissement,DateReleve,Indice PCI,Etat PCI,Indice IRI,Etat IRI
1614800,du Tour-de-l'Isle chemin,chemin de La Ronde ,chemin Macdonald ,48,Ville-Marie,2015-08-30,79,Bon,7.05,Mauvais
1614802,voie Non-nommée,chemin Macdonald ,chemin de La Ronde ,218,Ville-Marie,2015-08-30,59,Moyen,3.67,Moyen
1614803,de La Ronde chemin,chemin de La Ronde ,chemin du Tour-de-l'Isle ,130,Ville-Marie,2015-08-30,39,Mauvais,7.67,Très mauvais
1614805,de La Ronde chemin,chemin de La Ronde ,chemin de La Ronde ,272,Ville-Marie,2015-08-30,76,Bon,4.94,Moyen
1614806,voie Non-nommée,-,chemin de La Ronde ,169,Ville-Marie,2015-08-30,89,Excellent,3.43,Bon
1614807,voie Non-nommée,pont Jacques-Cartier ,-,60,Ville-Marie,2015-08-30,84,Excellent,4.61,Moyen
1614869,pont Jacques-Cartier,pont Jacques-Cartier ,pont Jacques-Cartier ,626,Ville-Marie,2015-08-08,85,Bon,2.26,Bon
1614872,Remembrance rue,rue Remembrance ,16e avenue ,42,Lachine,2015-08-19,40,Mauvais,7.68,Mauvais
1614873,de Rome avenue,place Ménard ,rue Monselet ,148,Montréal-Nord,2015-07-07,13,Très mauvais,7.61,Mauvais
1614874,Ménard place,avenue de Rome ,avenue Plaza ,69,Montréal-Nord,2015-07-01,22,Mauvais,9.18,Très mauvais
1614875,Cardinal rue,rue du Collège ,rue Beaudet ,187,Saint-Laurent,2015-09-02,22,Mauvais,6.23,Mauvais
1614876,La Fontaine rue,boulevard Décarie ,rue Ouimet ,80,Saint-Laurent,2015-09-03,88,Excellent,5.27,Moyen
1614878,Delinelle rue,rue du Square-Sainte-Élisabeth ,rue Saint-Jacques ,41,Le Sud-Ouest,2015-08-27,62,Bon,4.85,Moyen
1614879,De Courcelle rue,rue du Square-Sainte-Élisabeth ,rue Saint-Jacques ,76,Le Sud-Ouest,2015-08-27,20,Très mauvais,8.51,Très mauvais
1614880,Gariépy avenue,rue de Charleroi ,rue Arthur-Champoux ,229,Montréal-Nord,2015-07-06,27,Mauvais,6.93,Mauvais
1614881,Gariépy avenue,rue de Charleroi ,rue Arthur-Champoux ,63,Montréal-Nord,2015-07-06,37,Mauvais,8.31,Très mauvais
1614882,Justine-Lacoste avenue,avenue Hérisson ,avenue de Bretagne ,122,Anjou,2015-06-11,24,Mauvais,4.3,Moyen
